Title,Author,No. of Ratings,Publish Year,No. of Editions,Genere,Average Rating
"The Avery Shaw Experiment (Science Squad, #1)",Kelly Oram (Goodreads Author),12926,2013,8,science,4.02
"The Trouble with Physics: The Rise of String Theory, the Fall of a Science and What Comes Next",Lee Smolin,9386,2006,26,science,4.02
Naked Economics: Undressing the Dismal Science,Charles Wheelan,17090,2002,36,science,4.01
The Science of Evil: On Empathy and the Origins of Cruelty,Simon Baron-Cohen,5143,2011,25,science,3.78
"The Science of Discworld (The Science of Discworld, #1)","Terry Pratchett, 


Ian Stewart, 


Jack Cohen",10343,1999,35,science,3.94
Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,3667,2018,24,science,4.14
Proust and the Squid: The Story and Science of the Reading Brain,Maryanne Wolf,6080,2007,28,science,3.82
Cure: A Journey into the Science of Mind Over Body,Jo Marchant,3054,2016,40,science,4.1
The Science of Interstellar,"Kip S. Thorne, 


Christopher J. Nolan (Foreword)",4721,2015,29,science,4.25
Law of Attraction: The Science of Attracting More of What You Want and Less of What You Don't,Michael J. Losier,9441,2003,59,science,4.05
Women in Science: 50 Fearless Pioneers Who Changed the World,Rachel Ignotofsky,5213,2016,13,science,4.47
Whole: Rethinking the Science of Nutrition,"T. Colin Campbell, 


Howard Jacobson",5647,2013,2,science,3.91
"A Devil's Chaplain: Reflections on Hope, Lies, Science, and Love",Richard Dawkins (Goodreads Author),7649,2003,3,science,3.98
Undeniable: Evolution and the Science of Creation,Bill Nye,12340,2014,10,science,4.14
The Killer of Little Shepherds: A True Crime Story and the Birth of Forensic Science,Douglas Starr,4883,2010,17,science,3.86
Why Is Sex Fun? The Evolution of Human Sexuality,Jared Diamond,5930,1997,56,science,3.71
Like a Mother: A Feminist Journey Through the Science and Culture of Pregnancy,Angela Garbes,6896,2018,9,science,4.25
The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science,"Culadasa (John Yates) (Goodreads Author), 


Matthew Immergut, 


Jeremy Graves",4242,2015,24,science,4.05
The Joy of Living: Unlocking the Secret and Science of Happiness,"Yongey Mingyur, 


Daniel Goleman (Goodreads Author) (Foreword by), 


Eric  Swanson (Goodreads Author)",8166,2007,29,science,4.13
Superior: The Return of Race Science,Angela Saini,3599,2019,22,science,4.27
Octavia's Brood: Science Fiction Stories from Social Justice Movements,"Adrienne Maree Brown (Editor/Contributor), 


Walidah Imarisha (Goodreads Author) (Editor/Contributor), 


Sheree Renée Thomas (Foreword)",3087,2015,6,science,3.95
God: The Failed Hypothesis: How Science Shows That God Does Not Exist,Victor J. Stenger,8056,2007,18,science,3.93
"Bounce: Mozart, Federer, Picasso, Beckham, and the Science of Success",Matthew Syed,7480,2010,25,science,4.07
