Title,Author,No. of Ratings,Publish Year,No. of Editions,Genere,Average Rating
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,81336,1970,134,history,4.18
Salt: A World History,Mark Kurlansky,66211,2002,50,history,3.72
The History of Love,Nicole Krauss,130063,2005,115,history,3.91
Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,64992,1995,3,history,3.93
"The History of the Hobbit, Part One: Mr. Baggins","John D. Rateliff, 


J.R.R. Tolkien",107446,2007,3,history,3.81
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,105084,2005,92,history,3.68
Case Histories (Jackson Brodie #1),Kate Atkinson,105233,2004,101,history,3.8
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"Chris Kyle, 


Scott McEwen, 


Jim DeFelice (Goodreads Author)",122154,2012,109,history,3.99
At Home: A Short History of Private Life,Bill Bryson,88467,2010,96,history,3.96
History of Beauty,"Umberto Eco, 


Girolamo De Michele, 


Alastair McEwen (Translator)",55574,2004,61,history,3.82
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert (Goodreads Author),58159,2014,2,history,4.13
History Is All You Left Me,Adam Silvera (Goodreads Author),48122,2017,42,history,4.02
Stamped from the Beginning: The Definitive History of Racist Ideas in America,Ibram X. Kendi (Goodreads Author),29658,2016,4,history,4.52
SPQR: A History of Ancient Rome,Mary Beard,48285,2015,73,history,3.99
Color: A Natural History of the Palette,Victoria Finlay,65507,2003,25,history,3.8
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,47160,1993,83,history,3.86
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,46178,2010,62,history,3.91
A History of Western Philosophy,Bertrand Russell,34815,1945,129,history,4.1
"Fire & Blood (A Targaryen History, #1)","George R.R. Martin, 


Doug Wheatley (Illustrator)",45345,2018,82,history,3.89
The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,25917,2017,9,history,4.46
The Histories,"Herodotus, 


Aubrey de Sélincourt (Translator), 


John M. Marincola (Editor, Introduction, Notes)",47112,-450,572,history,3.96
"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History","Robert M. Edsel, 


Bret Witter (Contributor)",49793,2009,66,history,3.76
The Silk Roads: A New History of the World,Peter Frankopan,28467,2016,80,history,4.11
The Disreputable History of Frankie Landau-Banks,E. Lockhart (Goodreads Author),51203,2008,43,history,3.8
The Great Influenza: The Story of the Deadliest Pandemic in History,John M. Barry,35166,2004,30,history,3.98
A Brief History of Seven Killings,Marlon James,30321,2014,70,history,3.89
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,39592,2010,28,history,4.19
White Trash: The 400-Year Untold History of Class in America,Nancy Isenberg,20431,2016,21,history,3.74
History of Art,"H.W. Janson, 


Anthony F. Janson",33368,1962,65,history,3.8
"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History",Erik Larson (Goodreads Author),54703,1999,32,history,4.03
History of the Peloponnesian War,"Thucydides, 


Rex Warner (Translator), 


Moses I. Finley (Introduction/Notes)",32669,-411,567,history,3.86
Please Kill Me: The Uncensored Oral History of Punk,"Legs McNeil, 


Gillian McCain",30175,1996,4,history,4.17
"A Natural History of Dragons (The Memoirs of Lady Trent, #1)",Marie Brennan (Goodreads Author),31793,2013,24,history,3.81
Your Inner Fish: a Journey into the 3.5-Billion-Year History of the Human Body,Neil Shubin (Goodreads Author),22886,2008,49,history,4.02
"Secret History (Mistborn, #3.5)",Brandon Sanderson (Goodreads Author),33906,2016,10,history,4.37
Voices from Chernobyl: The Oral History of a Nuclear Disaster,Svetlana Alexievich,46302,1997,174,history,4.38
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,18700,2021,27,history,4.59
Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,23818,2016,23,history,4.25
A Briefer History of Time,Stephen Hawking,33254,1988,109,history,4.23
"The History of Tom Jones, a Foundling","Henry Fielding, 


Thomas Keymer (Editor), 


Alice Wakely (Editor)",31913,1749,1018,history,3.75
Living History,Hillary Rodham Clinton,35032,2003,70,history,3.72
The Rise and Fall of the Dinosaurs: A New History of a Lost World,Stephen Brusatte (Goodreads Author),23069,2018,57,history,4.12
Cooked: A Natural History of Transformation,Michael Pollan (Goodreads Author),22757,2013,39,history,4.06
The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,"George R.R. Martin, 


Elio M. García Jr., 


Linda Antonsson (Goodreads Author)",28384,2014,47,history,4.26
The Ascent of Money: A Financial History of the World,Niall Ferguson,25737,2007,81,history,3.89
Humankind: A Hopeful History,"Rutger Bregman (Goodreads Author), 


Elizabeth Manton (Translator), 


Erica Moore (Translator)",29160,2019,72,history,4.33
"An Indigenous Peoples' History of the United States (ReVisioning American History, #3)",Roxanne Dunbar-Ortiz,9818,2014,18,history,4.37
"The History of Sexuality, Volume 1: An Introduction","Michel Foucault, 


Robert Hurley (Translator)",19776,1976,90,history,4.04
Where Good Ideas Come from: The Natural History of Innovation,Steven Johnson (Goodreads Author),13890,2010,43,history,3.99
How Democracies Die: What History Reveals About Our Future,"Steven Levitsky, 


Daniel Ziblatt",17652,2018,53,history,4.19
History of Wolves,Emily Fridlund,25591,2017,42,history,3.41
A History of the World in 6 Glasses,Tom Standage (Goodreads Author),24369,2005,3,history,3.77
"The Information: A History, a Theory, a Flood",James Gleick (Goodreads Author),15010,2011,46,history,4.02
Killing Jesus: A History,"Bill O'Reilly (Goodreads Author), 


Martin Dugard (Goodreads Author)",32599,2013,30,history,3.94
India After Gandhi: The History of the World's Largest Democracy,Ramachandra Guha,15741,2007,28,history,4.38
"Four Hundred Souls: A Community History of African America, 1619-2019","Ibram X. Kendi (Goodreads Author) (Editor), 


Keisha N. Blain (Goodreads Author) (Editor)",5365,2021,15,history,4.62
"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden from the Soviet Invasion to September 10, 2001",Steve Coll,15107,2004,23,history,4.28
How the Word Is Passed: A Reckoning with the History of Slavery Across America,Clint   Smith (Goodreads Author),7621,2021,18,history,4.79
The Only Plane in the Sky: An Oral History of 9/11,Garrett M. Graff (Goodreads Author),22196,2019,25,history,4.73
Medical Apartheid: The Dark History of Medical Experimentation on Black Americans from Colonial Times to the Present,Harriet A. Washington,5972,2007,17,history,4.38
"The Secret History of the Pink Carnation (Pink Carnation, #1)",Lauren Willig (Goodreads Author),23090,2004,38,history,3.69
Postwar: A History of Europe Since 1945,Tony Judt,10447,2005,23,history,4.36
How to Hide an Empire: A History of the Greater United States,Daniel Immerwahr,7181,2019,22,history,4.46
"The Feather Thief: Beauty, Obsession, and the Natural History Heist of the Century","Kirk Wallace Johnson, 


Kirk W. Johnson (Goodreads Author)",19598,2018,26,history,4.02
Madness and Civilization: A History of Insanity in the Age of Reason,Michel Foucault,11695,1961,101,history,4.1
"Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon","Melissa Anelli (Goodreads Author), 


J.K. Rowling (Introduction)",15216,2008,19,history,4.12
The Secret History of Wonder Woman,Jill Lepore,16698,2014,19,history,3.71
The Lessons of History,"Will Durant, 


Ariel Durant",12517,1968,55,history,4.11
Origin Story: A Big History of Everything,David Christian,5540,2018,54,history,4.06
A Short History of Tractors in Ukrainian,Marina Lewycka,28837,2005,93,history,3.41
Harry Potter: A History of Magic,"British Library, 


J.K. Rowling, 


Julian Harrison (Introduction)",15112,2017,20,history,4.22
Legacy of Ashes: The History of the CIA,Tim Weiner (Goodreads Author),11613,2007,67,history,3.93
A Secret History of Witches,Louisa Morgan (Goodreads Author),14666,2017,14,history,3.8
The Catastrophic History of You and Me,Jess Rothenberg (Goodreads Author),15849,2012,26,history,4.03
"The Book of Lost Tales, Part One (The History of Middle-Earth, #1)","J.R.R. Tolkien, 


Christopher Tolkien (Editor, Introduction, Appendix, )",13501,1983,67,history,3.85
True History of the Kelly Gang,Peter Carey,20696,2000,82,history,3.83
Gulag: A History,Anne Applebaum,9569,2003,29,history,4.25
Get Well Soon: History's Worst Plagues and the Heroes Who Fought Them,Jennifer   Wright (Goodreads Author),10037,2017,12,history,4.25
"The Tale of the Dueling Neurosurgeons: The History of the Human Brain as Revealed by True Stories of Trauma, Madness, and Recovery",Sam Kean,10766,2014,42,history,4.24
The Office: The Untold Story of the Greatest Sitcom of the 2000s: An Oral History,Andy Greene,8477,2020,7,history,4.16
"Chaos: Charles Manson, the CIA, and the Secret History of the Sixties","Tom O'Neill, 


Dan Piepenbring (Contributor)",8767,2019,24,history,3.99
A History of the World in 100 Objects,Neil MacGregor,7950,2010,50,history,4.2
Twilight and History,Nancy R. Reagin,18697,2010,12,history,4.44
Live from New York: An Oral History of Saturday Night Live,"Tom Shales, 


James Andrew Miller (Goodreads Author)",16243,2002,25,history,4.06
Consider the Fork: A History of How We Cook and Eat,"Bee Wilson, 


Annabel Lee (Illustrator)",8505,2012,29,history,3.84
These Truths: A History of the United States,Jill Lepore,8410,2018,4,history,4.41
The Unwinding: An Inner History of the New America,George Packer,11429,2013,34,history,4.13
Made in America: An Informal History of the English Language in the United States,Bill Bryson,13847,1994,42,history,3.91
Fly Girls: How Five Daring Women Defied All Odds and Made Aviation History,Keith  O'Brien,6208,2018,11,history,3.92
Ghostland: An American History in Haunted Places,Colin Dickey,7138,2016,7,history,3.75
"The Coming of the Third Reich (The History of the Third Reich, #1)",Richard J. Evans,8916,2003,40,history,4.23
Argo: How the CIA & Hollywood Pulled Off the Most Audacious Rescue in History,"Antonio J. Méndez, 


Matt Baglio",12745,2012,41,history,3.86
Wanderlust: A History of Walking,Rebecca Solnit,4535,2001,42,history,3.92
Wonderful Life: The Burgess Shale and the Nature of History,Stephen Jay Gould,9351,1989,28,history,4.14
"The Past Through Tomorrow (Future History, #1-21)","Robert A. Heinlein, 


Damon Knight (Introduction)",16179,1967,32,history,4.17
The Brief History of the Dead,Kevin Brockmeier,11468,2003,28,history,3.67
"The Great Mortality: An Intimate History of the Black Death, the Most Devastating Plague of All Time",John     Kelly (Goodreads Author),8096,2005,17,history,3.88
The Discoverers: A History of Man's Search to Know His World and Himself,Daniel J. Boorstin,11254,1983,30,history,4.12
Cannibalism: A Perfectly Natural History,"Bill Schutt (Goodreads Author), 


Patricia Wynne (Illustrator)",4390,2017,18,history,3.88
"iCon: Steve Jobs, the Greatest Second Act in the History of Business","Jeffrey S. Young, 


William L. Simon",9448,2005,24,history,4.02
Gathering Moss: A Natural and Cultural History of Mosses,Robin Wall Kimmerer,4928,2003,18,history,4.41
American Nations: A History of the Eleven Rival Regional Cultures of North America,Colin Woodard,9725,2011,16,history,4.19
A Brief History of Everyone Who Ever Lived: The Stories in Our Genes,Adam Rutherford,7941,2016,45,history,4.05
"The Argumentative Indian: Writings on Indian History, Culture and Identity",Amartya Sen,7953,2005,23,history,3.82
"Black Arts (Jane Yellowrock, #7)",Faith Hunter (Goodreads Author),11494,2014,11,arts,4.36
"Harry Potter: A Journey Through Charms and Defence Against the Dark Arts (Harry Potter: A Journey Through, #1)","Pottermore Publishing, 


J.K. Rowling",3475,2019,6,arts,3.96
"Mortal Arts (Lady Darby Mystery, #2)",Anna Lee Huber (Goodreads Author),8686,2013,9,arts,3.99
"Dark Arts and a Daiquiri (The Guild Codex: Spellbound, #2)",Annette Marie (Goodreads Author),9463,2018,7,arts,4.31
"The Shattered Court (The Four Arts, #1)",M.J. Scott (Goodreads Author),2766,2015,6,arts,3.6
The Mystic Arts of Erasing All Signs of Death,Charlie Huston,4549,2008,24,arts,3.82
The Element Encyclopedia of 5000 Spells: The Ultimate Reference Book for the Magical Arts,Judika Illes,3409,2004,8,arts,4.28
Zen in the Martial Arts,"Joe Hyams, 


Joseph Cardillo",3418,1979,18,arts,4.17
Cultural Amnesia: Necessary Memories from History and the Arts,Clive James,1612,2007,15,arts,4.12
The Bachelor of Arts,R.K. Narayan,2825,1937,26,arts,3.84
Meditations on Violence: A Comparison of Martial Arts Training & Real World Violence,Rory Miller,1588,2008,6,arts,4.34
"The Black Arts : A Concise History of Witchcraft, Demonology, Astrology, and Other Mystical Practices Throughout the Ages",Richard Cavendish,1001,1967,14,arts,3.74
Language Arts,Stephanie Kallos (Goodreads Author),1927,2015,6,arts,3.83
"Shadowbound (Dark Arts, #1)",Bec McMaster (Goodreads Author),1598,2016,3,arts,3.78
"The Trivium: The Liberal Arts of Logic, Grammar, and Rhetoric","Miriam Joseph, 


Marguerite McGlinn (Editor)",720,1937,7,arts,4.13
"The Holy Book of Women's Mysteries: Feminist Witchcraft, Goddess Rituals, Spellcasting and Other Womanly Arts",Zsuzsanna E. Budapest,1378,1976,11,arts,3.94
Proofiness: The Dark Arts of Mathematical Deception,Charles Seife,1469,2010,10,arts,3.67
"Of Wolves & Witches (Arcane Arts Academy, #1)",Elena Lawson (Goodreads Author),1693,2019,4,arts,4.07
"Bookforms: A complete guide to designing and crafting hand-bound books, from the Center for Book Arts","Center for Book Arts (Compilation), 


Ana Cordeiro (Contributor), 


Celine Lombardi (Contributor)",22,2019,2,arts,4.27
On Murder Considered as One of the Fine Arts,Thomas De Quincey,1978,1827,69,arts,3.27
"Quadrivium: The Four Classical Liberal Arts of Number, Geometry, Music, & Cosmology","John Martineau, 


Miranda Lundy, 


Daud Sutton",897,2010,11,arts,4.26
"The City Witch (The Coven: School of Magical Arts, #1)",Chandelle LaVaun (Goodreads Author),928,2019,2,arts,4.55
Modern Magick: Eleven Lessons in the High Magickal Arts,Donald Michael Kraig,1538,1988,8,arts,3.97
Arts & Entertainments,Christopher R. Beha (Goodreads Author),927,2014,3,arts,3.19
The Painter of Modern Life and Other Essays,"Charles Baudelaire, 


Jonathon Mayne (Tranlator, Editor)",1425,1863,45,arts,3.96
"Vicious Arts (Royals of Villain Academy, #8)",Eva Chase (Goodreads Author),929,2020,2,arts,4.34
"The Con Artist (The Dark Arts, #1)",Kitty Thomas (Goodreads Author),621,2016,2,arts,3.85
"The Escape Artist (The Dark Arts, #2)",Kitty Thomas (Goodreads Author),391,2020,5,arts,4.14
"The Uptown Witch (The Coven: School of Magical Arts, #2)",Chandelle LaVaun (Goodreads Author),826,2020,2,arts,4.58
"Against the Flow: The Arts, Postmodern Culture and Education",Peter Abbs,199,2003,9,arts,4.47
"The Empire Witch (The Coven: School of Magical Arts, #3)",Chandelle LaVaun (Goodreads Author),816,2020,2,arts,4.66
"The Midnight Front (Dark Arts, #1)",David Mack (Goodreads Author),586,2018,6,arts,3.68
Domination and the Arts of Resistance: Hidden Transcripts,James C. Scott,575,1990,11,arts,4.26
"The Forbidden Heir (The Four Arts, #2)",M.J. Scott (Goodreads Author),650,2017,3,arts,3.92
"Human Accomplishment: The Pursuit of Excellence in the Arts and Sciences, 800 B.C. to 1950",Charles Murray,501,2004,14,arts,3.9
Secrets of the Samurai: The Martial Arts of Feudal Japan,"Oscar Ratti, 


Adele Westbrook",830,1973,18,arts,3.99
The Cultural Cold War: The CIA and the World of Arts and Letters,Frances Stonor Saunders,453,1999,25,arts,4.01
"Astrology, Psychology, and the Four Elements: An Energy Approach to Astrology and Its Use in the Counseling Arts",Stephen Arroyo,519,1975,15,arts,4.3
Meaning in the Visual Arts,Erwin Panofsky,616,1955,21,arts,4.14
Cyrus the Great: The Arts of Leadership and War,Xenophon,1341,-354,142,arts,4.15
Mama Gena's School of Womanly Arts: Using the Power of Pleasure to Have Your Way with the World,Regena Thomashauer,873,2002,9,arts,3.89
"Hexbound (Dark Arts, #2)",Bec McMaster (Goodreads Author),974,2016,4,arts,3.98
The Demon's Sermon on the Martial Arts,Issai Chozanshi,419,1727,7,arts,4.22
The History & Arts of the Dominatrix,Anne O. Nomis (Goodreads Author),59,2013,2,arts,4.34
"Loving the Enemy (Seven Forbidden Arts, #0)",Charmaine Pauls (Goodreads Author),377,2015,8,arts,3.83
Everything You Need to Ace English Language Arts in One Big Fat Notebook: The Complete Middle School Study Guide,"Jen Haberling (Editor), 


Elizabeth Irwin (Contributor)",431,2016,2,arts,4.48
"Echoes of Eden: Reflections on Christianity, Literature, and the Arts",Jerram Barrs,414,2013,5,arts,4.06
"Werner's Nomenclature of Colours: Adapted to Zoology, Botany, Chemistry, Mineralogy, Anatomy, and the Arts",Patrick Syme,250,1814,11,arts,4.16
"The Road to Excellence: The Acquisition of Expert Performance in the Arts and Sciences, Sports, and Games",K. Anders Ericsson (Editor),68,1996,8,arts,3.91
Beyond the Brillo Box: The Visual Arts in Post-Historical Perspective,Arthur C. Danto,131,1992,6,arts,3.89
"On the Warrior's Path: Philosophy, Fighting, and Martial Arts Mythology","Daniele Bolelli, 


Richard Strozzi-Heckler (Foreword by)",473,2003,6,arts,4.13
"The Darker Arts (Frey & McGray, #5)",Oscar de Muriel,721,2019,9,arts,4.29
"Theater Geek: The Real Life Drama of a Summer at Stagedoor Manor, the Famous Performing Arts Camp",Mickey Rapkin,560,2010,6,arts,3.8
The Ultimate Ambition in the Arts of Erudition: A Compendium of Knowledge from the Classical Islamic World,"Shihab al-Din al-Nuwayri, 


Elias Muhanna (Goodreads Author) (Editor)",125,1329,2,arts,3.92
The Zen Way to Martial Arts: A Japanese Master Reveals the Secrets of the Samurai,"Taisen Deshimaru, 


Nancy Amphoux (Translator), 


George Leonard (Introduction)",569,1983,14,arts,4.06
Black Arts & Bones (Familiar Kitten Mysteries #11),Sara Bourgeois,491,2021,2,arts,4.47
Impro for Storytellers,Keith Johnstone,400,1999,9,arts,4.15
"Soulbound (Dark Arts, #3)",Bec McMaster (Goodreads Author),725,2017,3,arts,4.05
Art for God's Sake: A Call to Recover the Arts,Philip Graham Ryken,572,2006,3,arts,3.91
The Journal of Eugene Delacroix,"Eugène Delacroix, 


Lucy Norton (Translator), 


Hubert Wellington (Editor, Introduction)",203,1893,214,arts,4.33
"Black Arts, Tarts & Gypsy Carts (Spells & Caramels, #2)",Erin Johnson (Goodreads Author),854,2017,4,arts,4.31
The Lost Diary of Don Juan: An Account of the True Arts of Passion and the Perilous Adventure of Love,Douglas Carlton Abrams (Goodreads Author),966,2007,40,arts,3.39
The Hedonism Handbook: Mastering the Lost Arts of Leisure and Pleasure,Michael Flocker,457,2004,8,arts,3.86
The Forgotten Arts and Crafts,John Seymour,222,2001,3,arts,4.28
"A Throne of Bones (Arts of Dark and Light, #1)","Vox Day, 


Theodore Beale",636,2012,9,arts,3.93
What Good Are the Arts?,John Carey,351,2005,9,arts,3.64
The Liberal Arts Tradition: A Philosophy of Christian Classical Education,"Kevin Clark, 


Ravi Scott Jain",283,2013,8,arts,4.36
"Trivium: The Classical Liberal Arts of Grammar, Logic, & Rhetoric","John Michell, 


Rachel Grenon, 


Earl Fontainelle",135,2016,2,arts,4.31
"Witchcraft Medicine: Healing Arts, Shamanic Practices, and Forbidden Plants","Claudia Müller-Ebeling, 


Christian Rätsch, 


Wolf-Dieter Storl (Goodreads Author)",168,1998,6,arts,4.21
Imagine: A Vision for Christians in the Arts,Steve   Turner,442,2001,7,arts,4.12
"Swami and Friends, The Bachelor of Arts, The Dark Room, The English Teacher","R.K. Narayan, 


Alexander McCall Smith (Goodreads Author) (Introduction)",503,1994,7,arts,4.27
Discourse on the Sciences and Arts and Polemics,"Jean-Jacques Rousseau, 


Roger D. Masters (Editor/Translator), 


Christopher Kelly (Editor/Translator)",860,1750,59,arts,3.53
Arts of the Possible: Essays and Conversations,Adrienne Rich,236,2001,4,arts,4.16
Addicted to Mediocrity: Contemporary Christians and the Arts,"Frank Schaeffer, 


Kurt Mitchell (Illustrator)",416,1981,4,arts,3.71
"Blood in the Cage: Mixed Martial Arts, Pat Miletich, and the Furious Rise of the UFC",L. Jon Wertheim (Goodreads Author),441,2009,12,arts,3.83
Designa: Technical Secrets of the Traditional Visual Arts,"John Martineau (Editor), 


Adam Tetlow, 


Daud Sutton",175,2013,5,arts,4.38
"Pyromancist (Seven Forbidden Arts, #1)",Charmaine Pauls (Goodreads Author),191,2015,5,arts,4.15
"Releasing the Imagination: Essays on Education, the Arts, and Social Change",Maxine Greene,208,1995,2,arts,4.13
For the Beauty of the Church: Casting a Vision for the Arts,W. David O. Taylor (Goodreads Author) (Editor),226,2010,5,arts,4.01
Unceasing Worship: Biblical Perspectives on Worship and the Arts,Harold M. Best,236,2003,3,arts,3.96
Grimoire of the Thorn-Blooded Witch: Mastering the Five Arts of Old World Witchery,Raven Grimassi,151,2014,6,arts,3.81
Deadly Arts (Shane Hadley Mystery #2),Ken Brigham,23,2020,3,arts,3.26
"American Indian Healing Arts: Herbs, Rituals, and Remedies for Every Season of Life","E. Barrie Kavasch, 


Karen Baar",115,1999,4,arts,4.25
The Aesthetics of Architecture,Roger Scruton,80,1979,7,arts,3.86
Arts and Ideas,William Fleming,180,1955,17,arts,4.27
Fight Like a Physicist: The Incredible Science Behind Martial Arts,Jason Thalken (Goodreads Author),258,2015,2,arts,3.87
"Noise, Water, Meat: A History of Sound in the Arts",Douglas Kahn,193,1999,7,arts,3.85
"The Unbound Queen (The Four Arts, #3)",M.J. Scott (Goodreads Author),217,2020,3,arts,3.93
Ultimate Flexibility: A Complete Guide to Stretching for Martial Arts,Sang H. Kim (Goodreads Author),274,2004,4,arts,3.89
"Washington's Providence (A Timeless Arts Novel, #1)",Chris LaFata (Goodreads Author),87,2013,4,arts,4.2
"State of the Arts, 13: From Bezalel to Mapplethorpe","Gene Edward Veith Jr. (Goodreads Author), 


Marvin Olasky (Editor)",225,1991,2,arts,3.98
The Book as Art: Artists' Books from the National Museum of Women in the Arts,"Krystyna Wasserman, 


Johanna Drucker, 


Audrey Niffenegger (Goodreads Author)",153,2006,2,arts,4.42
Is College Worth It?: A Former United States Secretary of Education and a Liberal Arts Graduate Expose the Broken Promise of Higher Education,"William J. Bennett, 


David Wilezol",234,2013,8,arts,3.82
The Art of the Turnaround: Creating and Maintaining Healthy Arts Organizations,Michael M. Kaiser,271,2008,4,arts,3.9
"Aeromancist: The Beginning (Seven Forbidden Arts, #2)",Charmaine Pauls (Goodreads Author),134,2015,6,arts,4.62
"The Power of Internal Martial Arts: Combat Secrets of Ba Gua, Tai Chi, and Hsing-I",Bruce Frantzis,229,1998,2,arts,4.08
The Curriculum: Everything You Need to Know to Be a Master of Business Arts,"Stanley Bing (Goodreads Author), 


Gil Schwartz",99,2013,7,arts,3.44
In the Dojo: A Guide to the Rituals and Etiquette of the Japanese Martial Arts,Dave Lowry,250,2006,2,arts,4.12
The Secret Arts (The Enchanted World Series),Time-Life Books,156,1987,5,arts,4.21
How to Kiss a Guy in Ten Days (Edenvale Arts Academy #1),Liwen Y. Ho (Goodreads Author),142,2020,4,arts,4.08
"Aeromancist (Seven Forbidden Arts, #3)",Charmaine Pauls (Goodreads Author),123,2015,6,arts,4.63
"The Dark Arts of Blood (Blood Wine, #4)",Freda Warrington (Goodreads Author),88,2015,5,arts,4.14
AA100 The Arts Past and Present - Reputations (Book 1),Elaine Moohan (Editor),212,2008,2,arts,3.94
Natural Witchcraft: The Timeless Arts and Crafts of the Country Witch,Marian Green,84,2002,2,arts,3.77
Learning to Look: A Handbook for the Visual Arts,Joshua C. Taylor,143,1957,5,arts,3.45
"Don't Tell (Romantic Suspense, #1; Chicago, #1)",Karen      Rose (Goodreads Author),12327,2003,46,suspense,4.1
"The One You Love (Emma Holden Suspense Mystery, #1)",Paul Pilkington (Goodreads Author),18525,2011,18,suspense,3.44
"Die for Me (Romantic Suspense, #7; Daniel Vartanian, #1)",Karen      Rose (Goodreads Author),12299,2007,57,suspense,4.27
"I'm Watching You (Romantic Suspense, #3; Chicago, #2)",Karen      Rose (Goodreads Author),9084,2004,44,suspense,4.3
"Scream for Me (Romantic Suspense, #8; Daniel Vartanian, #2)",Karen      Rose (Goodreads Author),9601,2008,17,suspense,4.25
"You Belong to Me (Romantic Suspense, #12; Baltimore, #1)",Karen      Rose (Goodreads Author),8503,2011,43,suspense,4.17
"Have You Seen Her? (Romantic Suspense, #2)",Karen      Rose (Goodreads Author),8709,2004,44,suspense,4.22
"Kill for Me (Romantic Suspense, #9; Daniel Vartanian, #3)",Karen      Rose (Goodreads Author),7885,2009,2,suspense,4.26
"I Can See You (Romantic Suspense, #10; Minneapolis, #1)",Karen      Rose (Goodreads Author),7482,2009,45,suspense,4.25
"You Can't Hide (Romantic Suspense, #5; Chicago, #4)",Karen      Rose (Goodreads Author),7393,2006,7,suspense,4.3
"Count to Ten (Romantic Suspense, #6; Chicago, #5)",Karen      Rose (Goodreads Author),7654,2007,46,suspense,4.29
"No One Left to Tell (Romantic Suspense, #13; Baltimore, #2)",Karen      Rose (Goodreads Author),6900,2012,38,suspense,4.22
"Closer Than You Think (Romantic Suspense, #16; Cincinnati, #1)",Karen      Rose (Goodreads Author),8166,2014,36,suspense,4.25
"Nothing to Fear (Romantic Suspense, #4; Chicago, #3)",Karen      Rose (Goodreads Author),6786,2005,48,suspense,4.19
The Cove (Summer Suspense Mystery #1),L.J. Ross (Goodreads Author),7375,2021,5,suspense,4.14
"Silent Scream (Romantic Suspense, #11; Minneapolis, #2)",Karen      Rose (Goodreads Author),6427,2010,11,suspense,4.23
"Say You're Sorry (Romantic Suspense, #22; Sacramento, #1)",Karen      Rose (Goodreads Author),6643,2019,22,suspense,4.15
"Did You Miss Me? (Romantic Suspense, #14; Baltimore, #3)",Karen      Rose (Goodreads Author),5904,2012,2,suspense,4.23
"Suspense and Sensibility: Or, First Impressions Revisited (Mr. & Mrs. Darcy Mysteries, #2)",Carrie Bebris,4305,2005,13,suspense,3.91
"Watch Your Back (Romantic Suspense, #15; Baltimore, #4)",Karen      Rose (Goodreads Author),5003,2013,2,suspense,4.26
999: Twenty-Nine Original Tales of Horror and Suspense,"Al Sarrantonio (Editor), 


Neil Gaiman (Goodreads Author) (Contributor), 


Stephen King (Goodreads Author)",3298,1999,18,suspense,3.85
"Out of Her League (Suspense Series, #1)",Kaylea Cross (Goodreads Author),2986,2008,8,suspense,3.94
Say No More (Romantic Suspense #24; Sacramento #2),Karen      Rose (Goodreads Author),2738,2020,11,suspense,4.28
Distrust: Two Thrilling Novels of Page-Turning Suspense,Lisa Jackson (Goodreads Author),465,2021,4,suspense,3.7
"Lies We Never See (Book #1 in the Amazon #1 bestselling ""Hanna and Alex"" suspense thriller series.)",Michael Lindley (Goodreads Author),2165,2019,18,suspense,4.01
"Watching (PAVAD: FBI Romantic Suspense, #1)",Calle J. Brookes (Goodreads Author),2303,2012,9,suspense,4.11
"Cardiff, by the Sea: Four Novellas of Suspense",Joyce Carol Oates,835,2020,2,suspense,3.77
Dark Forces: New Stories of Suspense and Supernatural Horror,"Kirby McCauley (Editor), 


Dennis Etchison (Contributor), 


Theodore Sturgeon (Contributor)",2773,1980,12,suspense,4.08
"Every Dark Corner (Romantic Suspense, #18; Cincinnati, #3)",Karen      Rose (Goodreads Author),4558,2017,31,suspense,4.35
"When Night Comes (Jack Turner Suspense, #1)",Dan Walsh (Goodreads Author),1791,2014,8,suspense,4.12
"Broken Silence (Romantic Suspense, #14.5; Baltimore, #3.5)",Karen      Rose (Goodreads Author),3118,2013,3,suspense,4.08
"All That Remains (A Missing & Exploited Suspense Series, #1)",Hannah Holborn (Goodreads Author),1179,2015,6,suspense,3.85
"Remembering Dresden (Jack Turner Suspense, #2)",Dan Walsh (Goodreads Author),1481,2016,7,suspense,4.39
Mary Russell's War And Other Stories of Suspense,Laurie R. King (Goodreads Author),2293,2016,7,suspense,4.06
"Say Goodbye (Romantic Suspense, #25; Sacramento, #3)",Karen      Rose (Goodreads Author),1432,2021,10,suspense,4.45
